episode_id,begin_utc,end_utc,states,n_events,n_lsr,fatalities,injuries,damage_usd,n_counties,county_fips,min_lat,min_lon,max_lat,max_lon,max_roll_6h_mm,max_roll_12h_mm,max_roll_24h_mm,max_roll_72h_mm,max_ari_years,max_ari_duration,mrms_product
158919,2021-05-01 17,2021-05-02 00,TX,22,23,0,0,0,9,48021;48029;48055;48091;48209;48325;48453;48463;48491,29.11,-99.69,30.54,-97.39,,,,,,,
158044,2021-05-03 02,2021-05-03 10,MO,1,1,0,0,0,1,29217,37.85,-94.28999999999999,37.959999999999994,-94.18,,,,,,,
157394,2021-05-03 03,2021-05-03 08,NE,3,2,0,0,0,3,31001;31081;31099,40.53,-99.03,40.92,-97.91,,,,,,,
158422,2021-05-03 14,2021-05-03 14,TN,1,0,0,0,0,1,47187,35.71,-86.99,35.839999999999996,-86.87,,,,,,,
159172,2021-05-03 15,2021-05-05 04,GA,9,9,0,0,20000,4,13015;13077;13223;13255,33.2,-85.02,34.11,-84.41,,,,,,,
158441,2021-05-04 01,2021-05-05 01,AL,4,41,0,0,0,4,01015;01051;01073;01117,32.6,-87.15,33.77,-85.64,,,,,,,
158347,2021-05-04 02,2021-05-04 03,OK,1,1,0,0,25000,1,40121,34.85,-95.84,35.0,-95.73,,,,,,,
157140,2021-05-04 08,2021-05-04 12,MO,2,3,0,0,0,2,29181;29207,36.54,-90.89,36.96,-90.14,,,,,,,
157137,2021-05-04 09,2021-05-04 14,KY,1,3,0,0,75000,1,21177,37.11,-87.32,37.269999999999996,-87.17,,,,,,,
157265,2021-05-04 09,2021-05-04 15,KY,18,18,0,0,0,7,21009;21031;21057;21061;21169;21171;21227,36.71,-86.94,37.23,-85.37,,,,,,,
157094,2021-05-04 11,2021-05-04 17,TN,2,2,0,0,0,2,47065;47155,35.19,-85.18,35.83,-83.51,,,,,,,
156672,2021-05-04 15,2021-05-05 22,AL,3,3,0,0,0,2,01049;01095,34.18,-86.2,34.5,-85.85,,,,,,,
